"CustomerID","loan_amnt","funded_amnt","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","purpose","zip_code","addr_state"
"C900002723","4000","4000","36 months","19.03%","146.69","E","E2","IBM","10+ years","MORTGAGE","80000","not verified","vacation","275xx","NC"
"C900007319","6000","6000","36 months","8.90%","190.52","A","A5","Farmers Insurance Company","4 years","MORTGAGE","71000","VERIFIED - income","debt_consolidation","333xx","FL"
"C900000842","14075","14075","60 months","12.68%","317.95","C","C1","Army National Guard / GED Plus Program","8 years","MORTGAGE","61200","VERIFIED - income source","debt_consolidation","720xx","AR"
"C900008581","5500","5500","36 months","12.61%","184.29","C","C2","Columbia University","1 year","RENT","48000","VERIFIED - income","wedding","100xx","NY"
"C900004715","3300","3300","36 months","8.49%","104.16","A","A5","Harmony Science Academy","2 years","RENT","28956","VERIFIED - income source","debt_consolidation","787xx","TX"
"C900007138","12500","12500","36 months","11.49%","412.15","B","B4","TDCJ","2 years","MORTGAGE","60000","not verified","other","791xx","TX"
"C900001512","8000","8000","60 months","14.91%","189.95","D","D2","Peckar & abramson","5 years","RENT","44000","VERIFIED - income","debt_consolidation","330xx","FL"
"C900008860","8000","8000","60 months","15.58%","192.77","D","D3","Noble Properties","3 years","MORTGAGE","55000","not verified","debt_consolidation","334xx","FL"
"C900005330","13000","13000","36 months","5.42%","392.08","A","A1","Great American Insurance Co","7 years","MORTGAGE","70000","not verified","credit_card","700xx","LA"
"C900000852","2400","2400","36 months","13.62%","81.59","D","D5","National Ready Mix Concrete Assn","1 year","RENT","47600","not verified","debt_consolidation","209xx","MD"
"C900007530","8000","8000","60 months","18.39%","204.85","E","E2","New Dawn Recovery","8 years","MORTGAGE","36000","not verified","debt_consolidation","958xx","CA"
"C900009969","6000","6000","36 months","10.00%","193.61","B","B2","Arthur E Flynn, MD","10+ years","MORTGAGE","79992","VERIFIED - income","other","930xx","CA"
"C900006919","3200","3200","36 months","11.49%","105.51","B","B4","Pollack & Rosen P.A.","3 years","RENT","31000","VERIFIED - income source","debt_consolidation","331xx","FL"
"C900008410","24000","24000","60 months","11.49%","527.71","B","B4","Bank Of America","1 year","RENT","60000","VERIFIED - income source","wedding","760xx","TX"
"C900002367","12000","12000","60 months","16.69%","296.24","E","E3","DocuSign, Inc.","< 1 year","MORTGAGE","250000","VERIFIED - income","major_purchase","297xx","SC"
"C900009081","1200","1200","36 months","15.21%","41.73","D","D2","RANSTAD","< 1 year","MORTGAGE","24000","VERIFIED - income source","home_improvement","601xx","IL"
"C900002539","7000","7000","36 months","12.23%","233.27","C","C1","Rostami OPC","< 1 year","RENT","25000","not verified","debt_consolidation","201xx","VA"
"C900000360","5000","5000","36 months","7.29%","155.05","A","A4","Greenfield industries","10+ years","MORTGAGE","65000","VERIFIED - income source","vacation","309xx","GA"
"C900004008","14500","14500","36 months","14.65%","500.17","C","C3","Herson's Kia","8 years","RENT","90000","VERIFIED - income","credit_card","208xx","MD"
"C900007238","10000","10000","36 months","16.45%","353.78","E","E1","Coldwell Banker","10+ years","RENT","55000","not verified","other","306xx","GA"
"C900005691","5000","5000","36 months","14.11%","171.15","D","D1","Premier Academy","4 years","RENT","159996","VERIFIED - income","credit_card","432xx","OH"
"C900004186","9600","9600","36 months","15.95%","337.28","D","D4","Westminster Police Department","2 years","RENT","45000","not verified","debt_consolidation","173xx","PA"
"C900005063","15000","15000","60 months","15.95%","364.38","E","E1","Brown and Caldwell","4 years","RENT","70000","VERIFIED - income source","small_business","946xx","CA"
"C900002275","8000","8000","36 months","7.51%","248.89","A","A3","Department of Justice","1 year","RENT","51400","not verified","debt_consolidation","223xx","VA"
"C900008999","16750","16750","36 months","12.53%","560.57","B","B5","Axis MN, Inc","4 years","RENT","33000","VERIFIED - income","debt_consolidation","551xx","MN"
"C900007788","6000","6000","60 months","7.29%","119.63","A","A4","Port of Tacoma","7 years","MORTGAGE","130000","VERIFIED - income","small_business","984xx","WA"
"C900001392","25000","25000","60 months","13.61%","576.67","C","C2","Greenville Hospital System","1 year","MORTGAGE","137004","VERIFIED - income","debt_consolidation","296xx","SC"
"C900008099","15600","15600","60 months","14.65%","368.27","C","C3","Loudoun County Public Schools","5 years","OWN","48575","VERIFIED - income source","debt_consolidation","201xx","VA"
"C900001199","25000","25000","36 months","10.74%","815.4","B","B4","City of San Diego","10+ years","MORTGAGE","155000","VERIFIED - income","debt_consolidation","920xx","CA"
"C900005294","8000","8000","36 months","12.21%","266.52","B","B5","Simon & Schuster Inc./Total Warehouse","10+ years","MORTGAGE","81847","VERIFIED - income source","educational","080xx","NJ"
"C900006048","6500","6500","36 months","12.68%","218.02","C","C1","Heald College","9 years","MORTGAGE","55200","not verified","small_business","952xx","CA"
"C900006043","15000","15000","36 months","11.49%","494.57","B","B4","Penske Automotive Group - BMW of SD","8 years","MORTGAGE","120000","VERIFIED - income","credit_card","920xx","CA"
"C900009435","30000","30000","36 months","8.90%","952.6","A","A5","Greene & Associates Talent Agency","3 years","MORTGAGE","2e+05","VERIFIED - income source","debt_consolidation","913xx","CA"
"C900001866","12000","12000","36 months","11.71%","396.92","B","B3","Tradestation Group","< 1 year","RENT","47840","VERIFIED - income","debt_consolidation","333xx","FL"
"C900008015","16400","16400","36 months","10.99%","536.84","B","B3","","3 years","RENT","61000","VERIFIED - income source","vacation","752xx","TX"
"C900002918","20000","20000","36 months","13.22%","676.02","C","C2","Ames True Temper","7 years","OWN","61000","VERIFIED - income","house","170xx","PA"
"C900004894","6000","6000","36 months","8.90%","190.52","A","A5","Robins AFB","2 years","OWN","27600","VERIFIED - income source","debt_consolidation","310xx","GA"
"C900007950","6200","6200","36 months","6.03%","188.71","A","A1","State Street Corporation","8 years","RENT","65000","not verified","other","021xx","MA"
"C900007228","4750","4750","36 months","7.14%","146.98","A","A3","Virginia Mason Medical Center","8 years","MORTGAGE","56000","not verified","debt_consolidation","982xx","WA"
"C900003360","8000","8000","36 months","12.18%","266.4","B","B4","University of Massachusetts","5 years","RENT","36000","not verified","debt_consolidation","013xx","MA"
"C900001097","1750","1750","36 months","15.70%","61.27","D","D4","aloha precast","3 years","RENT","22800","VERIFIED - income source","home_improvement","967xx","HI"
"C900005962","1800","1800","60 months","15.57%","43.37","D","D5","Assurant","4 years","MORTGAGE","40000","not verified","other","455xx","OH"
"C900003942","15000","15000","36 months","10.38%","486.69","B","B1","DEPT. OF HUMAN SERVICES","10+ years","MORTGAGE","90474","VERIFIED - income","debt_consolidation","207xx","MD"
"C900004405","20000","13675","60 months","6.91%","270.21","A","A5","Bank of America","10+ years","MORTGAGE","130000","VERIFIED - income","debt_consolidation","852xx","AZ"
"C900000194","14550","14550","36 months","11.71%","481.26","B","B3","kroger inc","10+ years","MORTGAGE","45000","VERIFIED - income source","credit_card","301xx","GA"
"C900008003","25000","25000","36 months","12.53%","836.66","C","C1","Scottel Voice and Data","6 years","RENT","115000","VERIFIED - income","wedding","903xx","CA"
"C900001743","10000","10000","36 months","10.65%","325.74","B","B2","DCAA","2 years","RENT","51400","not verified","credit_card","752xx","TX"
"C900002673","16750","16750","36 months","11.49%","552.27","B","B4","Weld County Sheriff's Office","5 years","RENT","46199","VERIFIED - income","credit_card","806xx","CO"
"C900007420","14000","14000","60 months","15.28%","335.13","D","D3","Northville Public Schools","10+ years","MORTGAGE","82000","VERIFIED - income","home_improvement","481xx","MI"
"C900005531","12000","12000","36 months","7.29%","372.12","A","A4","Nogales Unified School District #1","9 years","MORTGAGE","61000","VERIFIED - income source","credit_card","856xx","AZ"
"C900007433","20000","20000","60 months","16.89%","495.87","D","D4","eChalk","4 years","RENT","120000","VERIFIED - income","debt_consolidation","787xx","TX"
"C900002218","15000","15000","36 months","15.99%","527.29","D","D2","","2 years","MORTGAGE","1e+05","VERIFIED - income source","debt_consolidation","256xx","WV"
"C900006587","20000","20000","60 months","22.06%","553.07","F","F4","","n/a","MORTGAGE","55200","VERIFIED - income","debt_consolidation","157xx","PA"
"C900005496","35000","35000","36 months","10.65%","1140.07","B","B2","American Health Care","3 years","MORTGAGE","112800","VERIFIED - income","debt_consolidation","144xx","NY"
"C900001304","30000","30000","60 months","13.49%","690.15","C","C1","Connecticut Light & Power Co","10+ years","MORTGAGE","145000","VERIFIED - income","debt_consolidation","063xx","CT"
"C900007759","9100","9100","36 months","6.03%","276.97","A","A1","Whirlpool  Corp","10+ years","MORTGAGE","75000","VERIFIED - income","debt_consolidation","773xx","TX"
"C900001295","12000","12000","36 months","13.49%","407.17","C","C1","Goffstein  and  Associates","6 years","RENT","75000","VERIFIED - income source","debt_consolidation","021xx","MA"
"C900008230","35000","21750","60 months","19.29%","567.69","E","E4","U.S. Army","5 years","RENT","65000","VERIFIED - income","debt_consolidation","799xx","TX"
"C900003311","16000","16000","36 months","14.22%","548.55","C","C5","C.H. Robinson Worldwide in","3 years","RENT","50000","not verified","credit_card","606xx","IL"
"C900002001","8000","8000","36 months","10.62%","260.48","B","B3","Reflectx Staffing Services","10+ years","RENT","85000","not verified","major_purchase","070xx","NJ"
"C900006992","5000","5000","36 months","10.99%","163.68","B","B4","Lockheed Martin","10+ years","RENT","137481","not verified","debt_consolidation","761xx","TX"
"C900003093","2800","2800","36 months","9.62%","89.85","B","B3","Tech Credit Union","4 years","RENT","47000","not verified","credit_card","951xx","CA"
"C900000029","11975","11975","36 months","16.29%","422.73","D","D1","Physicians Reference Laboratory","5 years","RENT","58344","not verified","debt_consolidation","662xx","KS"
"C900005062","6000","6000","60 months","15.23%","143.47","C","C5","","1 year","RENT","32400","not verified","car","554xx","MN"
"C900004667","8000","8000","36 months","7.88%","250.25","A","A5","Deutsche Boerse","1 year","MORTGAGE","122000","not verified","credit_card","600xx","IL"
"C900005578","8000","8000","36 months","16.77%","284.31","D","D2","Fifth Third Bank","5 years","MORTGAGE","65000","VERIFIED - income","debt_consolidation","606xx","IL"
"C900009354","9600","9600","36 months","10.00%","309.77","B","B2","Omni Systems","5 years","MORTGAGE","82000","not verified","debt_consolidation","440xx","OH"
"C900002295","7500","7500","36 months","10.38%","243.35","B","B1","USPostal Service","10+ years","RENT","52000","VERIFIED - income","debt_consolidation","402xx","KY"
"C900006026","16800","16800","60 months","15.95%","408.1","D","D4","Orrick LLP","5 years","RENT","180000","VERIFIED - income source","debt_consolidation","946xx","CA"
"C900008286","4800","4800","36 months","6.92%","148.04","A","A3","U S Postal Service","10+ years","RENT","55000","VERIFIED - income","other","112xx","NY"
"C900005877","11200","11200","36 months","11.71%","370.46","B","B3","Citizen Relations","3 years","RENT","78402","not verified","debt_consolidation","900xx","CA"
"C900003869","10000","10000","36 months","11.11%","327.91","B","B5","wells fargo","10+ years","RENT","65496","not verified","other","782xx","TX"
"C900008293","15000","15000","36 months","9.88%","483.16","B","B1","Foster- Miller a QinetiQ NA Company","7 years","MORTGAGE","2e+05","VERIFIED - income","debt_consolidation","920xx","CA"
"C900006355","5000","5000","36 months","10.71%","163.01","B","B5","The Weglarz Co.","4 years","MORTGAGE","30000","not verified","credit_card","605xx","IL"
"C900007582","21000","21000","36 months","13.16%","709.18","C","C3","Ratliff & Assoc","2 years","MORTGAGE","114000","not verified","debt_consolidation","762xx","TX"
"C900000385","5000","5000","36 months","10.99%","163.67","B","B3","Sowela Technical College","4 years","OWN","37560","not verified","debt_consolidation","706xx","LA"
"C900000066","10500","10500","60 months","13.06%","239.23","C","C2","Mmr Offshore Service","8 years","RENT","75000","VERIFIED - income source","major_purchase","703xx","LA"
"C900000117","8000","8000","36 months","12.23%","266.6","C","C1","Airtight Design","1 year","RENT","61000","not verified","credit_card","302xx","GA"
"C900005687","21000","21000","60 months","18.25%","536.13","D","D5","","6 years","MORTGAGE","1e+05","VERIFIED - income","small_business","907xx","CA"
"C900005746","6000","6000","36 months","9.63%","192.57","A","A5","NTX Wireless","< 1 year","RENT","28000","not verified","major_purchase","181xx","PA"
"C900003930","25000","25000","36 months","16.07%","879.85","D","D5","SAVVIS","10+ years","OWN","130000","VERIFIED - income","credit_card","945xx","CA"
"C900000035","5000","5000","36 months","11.49%","164.86","B","B4","ASU","1 year","MORTGAGE","37500","not verified","home_improvement","286xx","NC"
"C900000388","2100","2100","60 months","14.83%","49.78","D","D3","usmc","10+ years","RENT","45000","VERIFIED - income source","other","922xx","CA"
"C900002931","11200","11200","36 months","13.98%","382.69","C","C3","Air Force Det 3,544th Intelligence Group","7 years","RENT","52800","VERIFIED - income source","credit_card","268xx","WV"
"C900000813","6000","6000","36 months","15.96%","210.83","C","C5","San Quentin State Prison","10+ years","MORTGAGE","39168","not verified","debt_consolidation","945xx","CA"
"C900002537","4000","4000","36 months","10.00%","129.07","B","B2","BBVA Compass","5 years","RENT","58000","VERIFIED - income source","debt_consolidation","787xx","TX"
"C900006873","29000","29000","36 months","15.65%","1014.55","D","D4","ABM Janitorial Services","10+ years","MORTGAGE","88812.93","VERIFIED - income","credit_card","181xx","PA"
"C900009861","5000","5000","60 months","15.99%","121.57","D","D2","pci health training","10+ years","RENT","42000","not verified","other","750xx","TX"
"C900009528","15850","15850","60 months","18.64%","408.03","E","E1","RBC Bearings","2 years","MORTGAGE","43000","VERIFIED - income","other","775xx","TX"
"C900007347","20000","20000","60 months","18.39%","512.13","E","E2","new england tire","8 years","MORTGAGE","115000","not verified","debt_consolidation","029xx","RI"
"C900001368","22500","22500","36 months","11.83%","745.52","B","B3","WXYZ-TV","10+ years","MORTGAGE","93000","not verified","home_improvement","481xx","MI"
"C900000581","2100","2100","36 months","12.21%","69.97","B","B5","Accounting/Financial Advisory Firm","1 year","RENT","10000","not verified","educational","606xx","IL"
"C900001277","24000","24000","36 months","14.96%","831.52","D","D2","AB Physical Therapy","7 years","OWN","350000","not verified","small_business","024xx","MA"
"C900009379","12000","12000","60 months","16.69%","296.24","E","E3","USAF","2 years","MORTGAGE","51996","VERIFIED - income source","debt_consolidation","935xx","CA"
"C900000161","14000","14000","36 months","7.51%","435.56","A","A4","pepperdine university","10+ years","MORTGAGE","140000","VERIFIED - income source","credit_card","913xx","CA"
"C900005837","7150","7150","36 months","6.99%","220.74","A","A3","Associated Press","3 years","RENT","61200","not verified","debt_consolidation","111xx","NY"
"C900006881","15500","15500","60 months","13.49%","356.58","C","C1","The Bowery Hotel","4 years","RENT","40000","VERIFIED - income source","debt_consolidation","112xx","NY"
"C900009958","2500","2500","36 months","11.14%","82.01","B","B1","Greens Restaurant","< 1 year","RENT","25000","not verified","house","941xx","CA"
"C900009381","24000","24000","36 months","18.43%","872.88","F","F2","Rubicon Financial","4 years","OWN","6e+05","VERIFIED - income","major_purchase","900xx","CA"
"C900007352","12000","12000","36 months","10.99%","392.83","B","B4","Nomura Securities","9 years","MORTGAGE","95000","not verified","debt_consolidation","070xx","NJ"
"C900004519","16000","16000","36 months","6.03%","486.97","A","A1","xpedite technologies inc","4 years","RENT","85000","VERIFIED - income source","major_purchase","210xx","MD"
"C900007098","17725","17725","60 months","11.71%","391.7","B","B3","Windham School District","10+ years","MORTGAGE","57000","VERIFIED - income","debt_consolidation","785xx","TX"
"C900001053","18050","18050","36 months","10.00%","582.43","B","B2","Deere & Company","10+ years","MORTGAGE","75288","not verified","debt_consolidation","612xx","IL"
"C900005586","15000","15000","36 months","16.69%","532.48","E","E3","Rabobank International","10+ years","MORTGAGE","124000","not verified","debt_consolidation","105xx","NY"
"C900000974","10000","10000","36 months","16.82%","355.64","E","E2","berkeley police department","10+ years","RENT","60000","VERIFIED - income source","debt_consolidation","631xx","MO"
"C900005311","8000","8000","36 months","11.48%","263.75","B","B2","ny presbyterian hospital","10+ years","RENT","36000","VERIFIED - income","debt_consolidation","112xx","NY"
"C900004710","3000","3000","36 months","10.65%","97.72","B","B2","First Transit","< 1 year","RENT","21000","VERIFIED - income","other","917xx","CA"
"C900009914","5000","5000","36 months","5.42%","150.8","A","A1","Xtreme Automotive Group, Inc","6 years","MORTGAGE","36600","not verified","other","301xx","GA"
"C900003574","1000","1000","36 months","11.89%","33.17","B","B4","fairbanks northstar borough school district","10+ years","MORTGAGE","87000","not verified","other","997xx","AK"
"C900001359","14400","14400","36 months","7.88%","450.44","A","A5","AAA","5 years","MORTGAGE","96216","VERIFIED - income","home_improvement","941xx","CA"
"C900002423","4200","4200","36 months","5.99%","127.76","A","A2","G.C. Broach","1 year","MORTGAGE","63096","not verified","debt_consolidation","741xx","OK"
"C900007060","25000","25000","60 months","23.91%","717.9","G","G4","Wyndham Vacation Ownership","7 years","RENT","2e+05","VERIFIED - income source","debt_consolidation","347xx","FL"
"C900004456","9000","9000","36 months","7.49%","279.92","A","A4","Tazewell County Sheriffs Office","8 years","MORTGAGE","35500","not verified","debt_consolidation","246xx","VA"
"C900007899","24625","13875","36 months","18.36%","504.13","G","G5","E & J Hauling","10+ years","RENT","84000","not verified","small_business","945xx","CA"
"C900008437","12000","12000","60 months","14.91%","284.92","D","D2","New Venture Holding","1 year","MORTGAGE","36000","VERIFIED - income source","major_purchase","302xx","GA"
"C900004114","3000","3000","36 months","9.63%","96.29","A","A5","Martenson Enterprises","1 year","OWN","30000","not verified","wedding","231xx","VA"
"C900005656","10400","10400","60 months","10.99%","226.07","B","B3","In-N-Out Burger","7 years","OWN","42000","VERIFIED - income","debt_consolidation","902xx","CA"
"C900003495","12000","12000","60 months","19.04%","311.56","F","F3","Hoag Hospital","8 years","MORTGAGE","1e+05","VERIFIED - income source","other","926xx","CA"
"C900005481","16000","3325","36 months","6.54%","101.97","A","A4","BP North America","4 years","MORTGAGE","1e+05","VERIFIED - income","debt_consolidation","775xx","TX"
"C900003181","15000","15000","36 months","14.83%","518.74","D","D3","","9 years","MORTGAGE","150000","VERIFIED - income source","debt_consolidation","080xx","NJ"
